,Comment
10,"""Well, Kris, you might just be surprised. Can you say Reagan Democrats? ROMNEY has a grasp of reality and the ECONOMY and the real world business experience to know what is needed to pull America out of the ditch and back on the highway of economic growth and lowering the national debt of which Obama has contributed more in 3 1/2 years than GW Bush did in 8 years. Unemployment is over 8% and GDP is less than 2% and Obama says the economy is doing just fine. He is in way over his head...it's called the Peter Principle. (and no, that's not a dirty word...look it up)."""
11,"""In reality GWB put more people on food stamps because of his 100% failed economic policies!"""
12,"""because the zionists will blow us up if we don't at least try!"""
13,"""Thank you.  Unfortunately on this kindle I'm limited on how far back I can go."""
14,"""CNN supports HARCORE MASS MURDERING ISLAMIST TERRORISTS!!!!\n\n\n\n\nDon\u2019t ever forget this guys!"""
15,"""What is your problem AW"""
16,"""Name a corporation that has told the truth."""
17,"""You know, I don't think I ever actually put my gloves in the glove box..."""
18,"""then they shouldnt get mad when they read it."""
19,"""Richards passes it to Carter. \xa0Wow. \xa0Surprising"""
20,"""I\\'m a second generation German working on my Master\\'s \\xc2\\xa0so I doubt you would be accurate in saying that I am a ignorant rube who can\\'t get over the civil war. what i can\\'t get over is self-righteous priks such as your-self who are uniquely qualified praise or condemn others values strictly based on your personal ""enlightened"" opinion.\\n\\nPS if i knew is was writting my thesis for you to critique i would have been more careful to meet your loft grammatical standards.\\n\\nnow go blow yourself."""
21,"""@Fenestrate Even tough Mitt doesn't drink. I thought about Mitt Sat nite when I tried get into Slippery Noodle bar with blues musician Buddy Young playing. Bar wanted $100 cover charge get in. I said F that went bar across street paid $5 cover had great time."""
22,"""Then you don't understand basketball."""
23,"""GO SUCK_YOU DADDYS_COCK_OBAMA LOVING LIBERAL_FAGGOT"""
24,"""yeah!!!! fuck undying!"""
25,"""<b>Circumstances under which abortion is legal in Israel:</b>\\nThe termination committee approves abortions, under sub-section 316a,[1] in the following circumstances:\\nThe woman is younger than seventeen (the legal marriage age in Israel) or older than forty.\\nThe pregnancy was conceived under illegal circumstances (rape, statutory rape etc.), an incestuous relationship, or outside of marriage.\\nThe fetus may have a physical or mental birth defect.\\nContinued pregnancy may put the woman's life in risk, or damage her physically or mentally.\\n\\nhttp://en.wikipedia.org/wiki/Abortion_in_Israel"""
26,"""Koolnightie,\n\nYou, just like your bedmate Proud Marxist Shill, are a\xa0deluded and brainwashed ""useful idiot"" of the Marxists who are doing their damnedest to bring down our society to Socialism.\n\nThere is no hope for you and your ilk.\xa0 I feel sorry for you.\n\nWhen your Dear Leader, Comrade \xd8bama is voted out of office I expect that you will self-destruct,\xa0just like all of\xa0your Marxist heroes of the past."""
27,"""i live with my dad asshole!!! i anal fuked the shit out of you r mom and your sisters, and made them cry in the process."""
28,"""Those plays are easy for Crawford. It's the routine ones he has trouble with"""
29,"""You really think shes speaking spanish? You are a fool aren't you?"""
30,"""Hey race baiter take a hike you are a typical idiot"""
31,"""when Obamabots blame everything else for their own failures, including Bush, then the tsunami in Japan, etc...................they don't realize that Americanvoters hate BLAME and love real leadership.\xa0 That is a losing strategy . Maybe they should fire AxelFRAUD."""
32,"""Zimmerman and his wife look like brother and sister."""
33,"""Is that you, Yannick??????? Give it a rest."""
34,"""nah...that'd be your daughter"""
35,"""Maybe next time you say it, you'll write ""You're a moron"".\xa0 \n\nYou're a cretin."""
36,"""you are a closet, flaming homo"""
37,"""go away you trashy\xa0 tramp"""
38,"""You and your ilk are the reason why Paul will never be elected to any position except the one he currently has. Sadly this will effect his son''s ratings."""
39,"""LOL Lame old woman, mother of yellow chicken hawks."""
40,"""Wow you attack others and show your ignorance. You get exactly what you deserve. You are one those typle scum bag employees who don't pull their wait and hide behind the union. You make me sick."""
41,"""It's the old white men and women who saved our nation in World War 11 and many are still alive who will help save our nation again. This time from President Obama and his administration when they vote in November."""
42,"""So perfect!\xa0 LOVE to suck you!!!"""
43,"""If you mean awesome at killing jobs and reducing America to Greece, then you are absolutely right."""
44,"""I'd be quite happy to win this and try it out."""
45,"""And you can be silly too!"""
46,"""I think I can encapsulate both your position and Gordon's in one phrase - "" a recession of choice"".\n\nThere is the (common) idea that it is possible for a government to ""create wealth"" ad infinitum by printing money and spending it.\xa0 And there is another idea that you grow rich through hard work and\xa0not through currency maniupulation.\n\nMy opinion is that people like yourself (and Gordon) are dangerous because you are very keen on spending money and not so keen on earning it.\xa0 When you run out of all the borrowed money you are spending you will need to start ""re-distibributing"" all the earned value in society..."""
47,"""@SandyBerman Beached! Whaaaaaaaaale!"""
48,"""why not hire the most qualified and capable instead of discrimating based on race and gender?"""
49,"""Lol.......Ralph you are the guys who are still in Moi era..."""
50,"""Brian, get out of the drug business, you are far too stupid to be in ""the game"".  Of all the countries in the world, you pick the one that is under the most scrutiny to buy illegal drugs from.  Where you planning on setting up shop in front of the Police Station as well?"""
51,"""@FamousOriginalLucas poor ian"""
52,"""@noBjustRyan @skywaker9 (David) Yeah, streaming them out. My bad, thought you were asking sky about the jurisdiction piece"""
53,"""Homeland Security has a list of what constitutes a valid id.\xa0 Check with them."""
54,"""He's not spanking her, he's fingering her asshole.  Hard enough to lift her off the ground.  Man, I wish I worked with that dude."""
55,"""I think we need our skin removed to complete our PERFECT look says it all really.\nIn my eyes if someone else is paying for it then you will get what your given, thats what i got taught"""
56,"""I'll let you know when I start worrying about an invertebrate's opinion of me.\n:-)"""
57,"""Read Lincoln Hawk posts please..."""
58,"""2.. being nosey... who should've been interviewed?"""
59,"""Right now, we supposedly have a 2 party state with some\\xc2\\xa0independents\\xc2\\xa0in the middle. \\xc2\\xa0In reality, we have the social-conservative republicans (pro-life, anti-gay, morals trump law). \\xc2\\xa0We have the fiscal-conservative republicans (pro-free-trade, anti-capital gains, fight-wars-outside-of-USA, business needs trump individual needs because fulfilling business needs naturally leads to the fulfillment of individual needs). \\xc2\\xa0And then you\\'ve got the Tea-Party.... who generally have a million varieties of the former two depending which one you speak to. \\xc2\\xa0\\n\\nAll three ""sub-groups"" are very intent on government playing an aggressive role in our economy or our social lives. \\xc2\\xa0Regardless of the talk, that\\'s what they do.\\n\\nAll three groups are very intent on a refusal to compromise their particular ideology. \\xc2\\xa0They lead. \\xc2\\xa0To compromise is failure. \\xc2\\xa0It\\'s top-down leadership, trickle-down-economics, trickle-down-regulation.\\xc2\\xa0\\n\\nFinally, we\\'ve got this weird group of Ron Paul supporters. \\xc2\\xa0People don\\'t really realize it, but they are out supporting the rights and freedoms of the individual.\\n\\nThere are many common issues with the right-wing groups, but in reality, they don\\'t fit there at all. \\xc2\\xa0If Ron Paul\\'s people are scared into thinking that a republican loss will bring 4 years of Obama and that\\'s worse than death.... \\xc2\\xa0they deserve the level of disdain that republican politicians treat them with.\\xc2\\xa0\\n\\nIf they had a real set of balls, they\\'d get together and walk into DNC headquarters and say, ""Of the 10,000,000 issues out there, here are 3 issues that we both agree upon. \\xc2\\xa0Make those happen and you can have our support"", then I\\'d 100%\\xc2\\xa0guarantee\\xc2\\xa0the DNS bosses would make that happen and probably get on their knees and give out BJs at the same time.\\n\\nRomney\\'s probably going to get the nomination. \\xc2\\xa0Obama\\'s probably going to spank him. \\xc2\\xa0The 20% of Ron Paul voters who write him in rather than voting for Romney will get 100% of the republicans blame for their loss - meaning they\\'ll do absolutely nothing to change.\\n\\nThe RP group could, issue by issue, make change in this country. \\xc2\\xa0Unfortunately, their ideology matches with the republicans in some ways, but it actually conflicts enormously in the process\\xc2\\xa0of how it works. \\xc2\\xa0\\n\\nThe RNC will never accept Ron Paul\\'s ideology. \\xc2\\xa0Ever. \\xc2\\xa0Fire and Water.\\nThe DNC changes constantly and can easily be managed by any organized group as long as the primary focus is on the protection of the rights of the individual and support of ""the little guy"".\\n\\nThere are sure to be a million Republicans who are going to go on and on and on about how evil the democrats are, but how many democrats out there find Ron Paul a total loon, but actually agree with much of what he says?"""
60,"""bluz i agree, love the way he can handle the bat....hope he stays healthy"""
61,"""Killing them should be a last resort, ""I'm gonna die!"" option.\n\nGoing out into the woods to kill 'em all because we see a couple in town is not right."""
62,"""And continuing on route 59 all the way to Nuevo Laredo"""
63,"""Hug a tree FAAAAAAGGGGGGGGGGGGGG!!!!\xa0\xa0 Folks like you make REAL Men look like, well, Real Men....you are a little sissy girly-man who is, right now, twirling in his pretty little tu-tu, sending kisses to all the other little fairies out there....Man Up you little p*ssy!\xa0 Just sayin' queer!"""
64,"""Bad as I dislike Obama I wouldn't wish this puke on his kids"""
65,"""ha ha ha! \xa0Back in your dirty Russian hole, comrade troll!"""
66,"""@Vojtass Go to a movie and have it start halfway through. Then smile complacently as the manager tells you you're lazy and (im)patient because you didn't understand the full story."""
67,"""I thought James Murphy introduced electronic music to the rock kids. He played it at CBGBs, everyone thought he was crazy."""
68,"""talk about a real cover up.................."""
69,"""Anyone that truly thinks the Celtics can beat the Heat needs to get their head checked."""
70,"""Don't\xa0 lecture about ABnoy's crusade.\n\nHindi lahat ng tao naloloko ng abnormal na presidente.\n\nMahiya ka naman."""
71,"""Non ho detto questo, quindi non inventare cose.\nAnzi, ho detto che delle scie mi interessa poco e vanno verificate, quindi di che parliamo?\nInsunto, chi e' contro il nucleare, esperti o meno che siano, sono tutti scemi?"""
72,"""I'm also excited for Nintendo's show. Wii U and some 3DS love for me!\n\nI might skip Microsoft's (don't hate, I have a valid reason) because it will probably a big shooter&kinect-fest, unless they are introducing a new console or something else other than Halo, CoD or Kinect games then I'll definitely going to stop, watch live streaming or read live blog, and be happy about it. I've lost interest in the 360 announcements ever since PS3 picked up the pace and began having more JRPGs than 360. Where you at MistWalker? Oh right, over Nintendo. Hmm...well, live blog's not gonna hurt. Going to follow MS's show then.\nSony have an amazing line-up of exclusives and they're boosting up the Vita so I'm definitely excited for that as well.E3 FTW!!!"""
73,"""I broke my ankle in February so I've been recovering from that as I need my left foot to shift.\xa0 I charged the battery on my Virago, cleaned it up, changed the oil and filter, but I've only ridden around the block a few times so far.\xa0 It's scary.\xa0 I don't have a lot of hours riding so I try to be extra careful when I'm out.\xa0 I wear over the ankle shoes, I bought a full face helmet last year and wear as much protective gear as I can, but none of that will help if something hits me head on."""
74,"""Don't be such an idiotic,\xa0 rude, little bitch. It takes a hell of a lot of work to run this place, and now that they have taken a break, you are STILL giving them shit?! Stupid. Like Demi said: UNAPPRECIATIVE ASS."""
75,"""@foxrock66 Why would you throw something like Porn out there in the middle of your argument? Is really easy to judge that way. You are right I am just assuming. Because ding ding you make it come across that way. As for the wife thing. I gave an example on how it helps people. You keep talking about yourself. Hence why I think is you don't indulge as you put it."""
76,"""If it's wrong to be ageist, why do we have a 'retirement age' for jobs?"""
77,"""Would probably be cheaper just to legally change your name."""
78,"""Obammass Care will be disolved by the SC.....They will base the desicion on the Constitution,,,,But in reality behind closed doors their true reason will be to save small buisnesses from bankruptcy"""
79,"""I can argue my point. Dont sit there and deny when you're program, coach, players have done something wrong and back it up bc ND did something a little more wrong.&nbsp;<div><br></div><div>If 2 men rob a person they're both guilty. Doesnt matter who had the gun.&nbsp;</div><div><br></div><div>You dont ever admit to anything wrong doing of your program, coach, players and you justify it being ok bc ND or BK did it too.</div><div><br></div><div>Thats whats annoying the sheet out of me. You cant talk anything football with you bc you wont ever just stay on a USC topic. You fire back with ""Well ND did this and that"".</div><div><br></div><div>If we're going to talk about what ND or BK did wrong fine lets talk it. But dont change the subject or justify wrong doing when we're on the USC or Kiffan subject. Get it now?</div><div><br></div><div>GO ND!!!&nbsp;</div>"""
80,"""...and with those shoes. \xa0Miss Brit needs to move into a more adult look. \xa0Her gyno length is now predictable and down right boring."""
81,"""Churning out more of the same old story with just different cars.... Typical american film people who dont know when to stop milking the cash cow..."""
82,"""Take your pills. The Voices are obviously taking control again."""
83,"""Harry Rednapp is English and he denied it."""
84,"""r_\n\nJust can't stand the truth can you?\n\nEither that or you are truly enjoying your blissful ignorance!"""
85,"""There is a certain contrasting quality between judgments within the world view of the proponents of the war on cannabis and Christian theology. The ""everything is toxic"" philosophy embraced by the ONDCP toxicologists and controlling offices such as the FDA and DEA is the exact opposite of sound Christian theology [1,2], and the corollary truths built upon it are not Biblically founded, and can be proven to be Biblically incorrect. -And if it\\'s not Theologically true, if it\\'s not true in the Bible, than it isn\\'t true at all [3]. No Bible believing Christian can accept any ""toxicology"" studies or reports from the ONDCP in good conscience, when they consider the axioms that were used to build their studies. Do Christians adhere to ""scientific"" theories about big bang and evolution? No, and we can also reject the observations of the ONDCP about cannabis on similar grounds when all things are considered in a clear systematic theology. One must ""Test The Evidences"" that come from outside Scripture. Scripture, tradition, and reason imply that all things are good, and that substance (such as foods and drinks) only becomes toxic in it\\'s misuse, that is, in the uses that are not in order with the purposes God created them [4]. The Scripture\\'s warnings against these philosophies are traditionally viewed as warnings about the Gnostics of the second century. It was a blending of Jewish, Greek, or Eastern philosophy with Christianity. These Gnostic errors are widespread, they appear century after century, and shows itself in many forms of religion, not merely in distorted forms of Christianity. In life application today, we can see that same Gnostic germ resurface in our society in the influence of modernism and postmodernism. The war against cannabis is a frightening illustration, in that it is successful in stifling Evangelism within the local Church, and not many Leaders recognize what\\'s going on, despite the fact that it devastates the lives of millions in perdition. This ascetic teaching is unnatural, contrary to the constitution of the world as that has been arranged by a holy and wise Creator, and it is also subversive of Christian liberty. Nothing can be esteemed common or unclean without throwing a reproach upon the Creator. [5] To further discover the long term consequences of these unnatural teachings, we can observe the characterizations and acts employed in the war on pot have a resemblance to the warnings in Scripture regarding the signs of false teachers (which are directly linked to signs of the coming Rapture of Christ\\'s church). The war on cannabis shares at least 2 key qualities as the Gnostics. In the presence of the negative implications of statements such as ""there is no way to teach this to you in a brief, "" and, ""everything is toxic, there is no harmless substances. "", the Christian should be reminded that encouraging formalism and asceticism as the result of false teaching is traditionally known as the activities of demons [6]; and the acknowledgment of liberty of conscience in a free moral agent is the formation of evangelical theology- for this very reason the Reformers left the Roman Catholic Church! [7]. The binge drinking phenomena we see in the just say no generation, as well as the licentious rebellion in the 60\\'s, is evidences of the ""fleshly indulgence"", or antinomian development that results from these ascetic teachings. [8,9,10]To summarize; The Christian world view and the ONDCP world view can be sharply contrasted. In the ONDCP world view, the Truth is ""everything is toxic"" and application is ""just say no"". In the Christian world view, the Truth is ""God\\'s creation is good"" and application is ""be ye sober"". The Scripture provides us a sharper, more accurate understanding and response to the subjects of cannabis use in society than the secular drug use prevention community. And as Biblical passages are weighed and discovered as this more accurate Truth, it should bear witness that the Gospel message of Jesus Christ is Truth. We should lend thought to this greater spiritual Truth for which the Bible is compiled as evidence of; That Christ made atonement covering and salvation for our souls. ""For God sent not his son into the world to condemn the world, but that he world through him might be saved. God publicly displayed him as the mercy seat accessible through faith, all have sinned and come short of the glory of God, but by grace are you saved through faith, and it\\'s not of yourselves, it is a gift from God. For whosoever believes in Him will not perish. If you confess with your mouth that Jesus Christ is Lord, and believe in your heart that God raised him from the dead, you will be saved."""""
86,"""Start with impeaching this dumb ass usurper"""
87,"""""A lot of people like when oil and gas prices fall, but that's a negative for the economy, so you have to be careful what you wish for,"" said Schrader..............................................Maybe not.  The thirty dollars I save when filling up can be used to buy a toaster or a shirt or something that is made in America instread of sending it to our enemies in the middle east."""
88,"""AKA, Rondo hit 2 outside shots late. Agreed."""
89,"""Who ever the fuck is going around saying I suck dick better run for their life. Imma set my dog on their ass."""
90,"""You're an idiot."""
91,"""@christopher_m show off!"""
92,"""""I have no problem at all throwing my good friend Crowley under the bus for this post because that fucker (I say that with love) has a whole act in his comedy routine detailing one of our \u201cintimate moments.\u201d Punkass.\xa0You had this coming, Crowley.""\n\xa0\nAhahahahahahahaha! That's what he gets for throwing an ""OMGoodness, boobs!"" fit. IN LA!!"""
93,"""5 I was just goin to say that I love Brenda's got a baby and I Just Don't give a fuck!"""
94,"""These are mostly facts, something you just don't want to admit.  Thanks for reminding us of what they are.  I'm sure we can think of a few more.  You know these are the truths but write it enough and you are disproving your point."""
95,"""Oh, you are such an idiot.....you just confirmed that you can't read...dumb@rse!"""
96,"""Not right at all..... Schools have to make cuts but they can afford to pay a gay ass lunch police to look at are children's lunches screwed up way to screwed up.................."""
97,"""isalill are you fucking Norwegian cow face? Fuck norway bitch. Moo moo."""
98,"""Not merely untrue, but unreadable!\xa0 \n\nAs for the truth, case in point: ""The only place on Earth where people cultivate fields stolen from living refugees is, Israel.""\xa0 There are still living survivors of the German population that used to\xa0live in Poland, the Czech Republic and Russia before they were kicked out at the end of WWII.\xa0 Someone is cultivating their fields, but it isn't them!"""
99,"""Hell yea thats whats up got him a pabst he good to go brothers broke him in good"""
100,"""what an excellent email!\xa0 I totally agree with what she wrote!"""
101,"""No dear Vidkun Quisling, He will probably be a black baptist preacher.\xa0 And we live in a very nice neighborhood, all our life."""
102,"""Thunder down after the spurs sweep."""
103,"""Love this outfit.  Is this a new plaited shopper??!!??  I LOOOOOVE it.  I have one in black, but this is gorge!"""
104,"""Bei jedem B\xfcrger holen Banken vor einer Kreditvergabe eine Schufa-Auskunft ein. Vielleicht h\xe4tten die Banken so etwas \xe4hnliches auch mal machen sollen, bevor sie Griechenland einen Milliardenkredit nach den anderen hinterher geworfen haben, es konnte ja garnicht genug sein. Jeder Volltrottel, der einmal in Griechenland war, h\xe4tte denen sagen k\xf6nnen, dass die diese Summen mit ihrer albernen Kleinwirtschaft nie und nimmer zur\xfcckzahlen k\xf6nnen. Und es kommt wie es kommen mu\xdfte, die Griechen k\xf6nnen es nicht zur\xfcckzahlen und wir, wie auch andere Europ\xe4er, m\xfcssen mit erarbeiteten Steuergeldern einspringen um die Banken zu retten (nicht Grichenland) ... hallo, geht's noch ? \nWer Kredite an Kunden vergibt, die es nicht zur\xfcckzahlen k\xf6nnen handelt auf eigenes Risiko, also Pech gehabt. Ergo: Banken direkt finanzieren, dass sie sich jetzt bei uns (dem Staat, dem B\xfcrger) verschulden und endlich kontrollierbar werden, also verstaatlichen. Schmei\xdft endlich diese nichtsnutzige, nimmersatte Zocker-Mischpoke da raus, und macht Spekulanten arbeitslos. Es gibt 2 Dinge auf der Welt mit denen man eigentlich nicht spielt: das eine ist Essen und das andere ist Geld. Es sind immer und immer wieder die selben, die die Welt finanziell in den Abgrund treiben: B\xe4nker und Spekulanten"""
105,"""Obama wont be elected because he says the ""private sector is fine"" and government can cure any problems. Then the\xa0clown actually thinks we are going to believe that. \n\nAccept that you are backing a looser dumb @ss democrats."""
106,"""you mean the guy who didnt go to college and is worth millions? That guy? How much do you make a month while collecting welfare, foodstamps, unemployment, disability, section 8 housing, heating assistance, medicaid and free child care?"""
107,"""stretch her ass open mah nigguh spit in her asshole and put ya dick deep in it give her an ANAL INFECTION BRUH!!!"""
108,"""STFU you cunt. Not everyone wants to receive IWs cock in their bum hole like you do."""
109,"""OK, who scored, who died today?"""
110,"""Wrong place wrong time and a black man saved him so shut the fuck up"""
111,"""LOL LOL Miami HEAT WIN... Now the NBA is in our side.. LOL YEAHHHHHH"""
112,"""@shiki @SammyThunderer @The_Beard_Knows @Daniel Hawaii Ibaka was a monster game five of that series. One of reasons I totally didn't understand why people here wanted to get rid of him."""
113,"""You get a like based only on the last part of the comment!"""
114,"""http://www.youtube.com/watch?v=_rLXnvkOadY&feature=related"""
115,"""christonastickJust  now\nThere is no free speech here\n\n\xa0 Who prevented you from   posting this?"""
116,"""Agreed. Neocons are the progressives of the right."""
117,"""Good question, why bother taking out the garbage if your going to blow the house up in the first place?"""
118,"""You are all a bunch of wankers for not going, i'd give my left nut to go to this show. Don't tell me it costs too much or some other show is on the night before or, worst of all, it's not interesting enough. If you're not going to one of these shows you're not into metal and you're a gay piece of shit. Fuck you!\n\nDeath to all tour - please come to Australia!!!"""
119,"""You are far too generous in your comment about the odious Hamish Meldrum."""
120,"""WFHASDLGASEGFEAWOHDSHFLAWEFSDHF..SFOAWEHGASD\nHOLY FUCK..\nDPIAHSGPA..I CAN'T EVEN ..\xa0\u2661\xa0\n\nTHE RETURN OF THE SUPERIOR. 13+2 FOREVER"""
121,"""I'm sure she looks better than the sloppy out of shape bitch you call your girl."""
122,"""It's the marketing change, not OMM. DO looking for a reason to blame some christian group so they can keep living in a boogey man fantasy world.\n\nGCB and Playboy club were cancelled because the shows fucking sucked. I gave both a try and both were absolutely terrible. Modern Family has a prominent gay couple and it does just fine on TV. And then there's Glee. Where's the mysterious power of OMM regarding those two?\n\nCEOs get fired for one reason only, ever, period: MONEY. Not making stockholders happy? You're fired.\n\nC'mon, DO, y'all can do better than this shit."""
123,"""You better pack a lunch,\\xc2\\xa0 Maybe two of them :)\\nU think israel doesnt have NUKES? They have been working , \\nNOT throwing rock and brainwashing their young people to blow themselves up..\\n"""
124,"""Oh come on man. Do you ever step off your high horse? If I were to take one guess at what is making her ""go through stuff"" it would be meth ohhhh meth..."""
125,"""Because you troll to much."""
126,"""Oh my just goes to show how young you are. Yes I remember her and all her fancy hair colours. As a tiny girl my daughter loved her."""
127,"""FUCK YOU!!!! you only want to suck Phillip's dick!!!"""
128,"""You know, I have read your comments on here and can clearly tell that you are a sympathizer for those who kill children, women and others who can't defend themselves. \xa0Piss on Bin Laden, piss on Mohammed Merah and piss \xa0on you and your progeny you SOB!"""
129,"""You're Anti-White because you hate yourself, you're unhappy, and you take it out on our entire race.\xa0Pathetic.\nYou say you are Anti-Racist, what you are is Anti-White. Anti-Racist is a codeword for Anti-White.The GENOCIDE of an entire race is tolerated, but the genocide of jungle savages is guarded with impunity!\xa0You sick, sick ""anti-racists"" are a death cult, anti-racist is a code word for anti-white."""
130,"""Most Americians do not know grammer. I always see them writing your instead of you are or you're."""
131,"""we know that , i'm say the evil zionist think what happend in houla is more evil, then what they usaly do to palasinian children."""
132,"""You're dumb."""
133,"""Dr. Tuteur, Thank you for your response. What is the name of the study you are referring to, and which medical journal can I find it?\r\n\r\nalso, the 600% that you repeatedly mention, can you tell me the number of women in the sample? Thank you."""
134,"""Tax Man......Yes it is dopey"""
135,"""Ah.... I do not ""hate' anyone....\xa0in fact\xa0one of my neighbors are muslin...sweet elderly couple... xxoo Canada...aka...heaven on earth"""
136,"""You are as naive as a teen-age girl."""
137,"""@we r all husseins Thing just goes off all the time anyway, it's all good."""
138,"""You must have a very hot temper. I see you are losing your temper because you can't stand the truth?"""
139,"""@NotBornEveryMin  Is that the number of personalities you have?"""
140,"""The GOP didn\\'t unconstitutionally overreach with the contraceptives, the GOP didn\\'t ""roll that back"" to a less offensive theft of liberty by unconstitutionally declaring what a private insurance company must do, how much it should charge, etc.\\xc2\\xa0 The GOP didn\\'t pull Planned Parenthood funding and they didn\\'t have anything to do with gay marriage legislation in looney land.\\xc2\\xa0 All examples of out of control liberalism going out of their way to decimate our Constitution.\\n\\nThe GOP didn\\'t seek any of this out.\\xc2\\xa0 These are convenient ways for the most corrupt, ignorant and tyrannical administration in the history of this country to try to change the topic from a complete failure of leadership in every single facet of government.\\n\\nJuan, you\\'ve really gone over the deep end, buddy."""
141,"""Holy shit. I want to do this, but I fear that it would prevent me from y'know, getting a job."""
142,"""Your a moron. Go\xa0snuggle yourself in potted meat."""
143,"""Holy shit, you're right!"""
144,"""Yours is jacked"""
145,"""how fucking DOPE"""
146,"""Don't try thinking for your betters, idiot.  You have more than enough trouble thinking for yourself."""
147,"""By your reply, you did not learn much in the Navy. He is our commander-in-chief. My brothers served in vietnam, my bio dad and adopted dad in WWII, they came from all sides of the political spectrum and they respected the president. Did they agree with him always? NO, but they respected the office. We hear all the time that the vet fought for our freedom. Part of the freedom is to elect our president and other officials. Aparently you didn't learn about that in the Navy. At least this President is trying to get benefits for our vets, something the republican party is all for cutting, so they can buy the next obsolete toy for the DOD."""
148,"""Because the are pri__cks like you."""
149,"""Peados , whores, men who batter women,, and now stalkers who also indulge in a bit of child porn,,  what happend to vetting contestants  ,,,  will it have live oap sex next week as that is all its missed so far"""
150,"""don't know....but it did have Sandy Burger's sock on it. \xa0LOL"""
151,"""ium102, we realized you are a Muslim from seeing your other comments. Like a good Muslim, you see ""so much negativity"" in anything and anyone who does not subscribe to your ""higher purpose in life. \xa0The purpose to do good works and have faith"". What a load of crap. And like a good Muslim you of course ""... ponder how I can make people understand"". I'm surprised at you: you know very well how to make people understand. It's simple: stone them, murder them, blow them up, maim them, rape them, burn them. You Muslims are expert at this. Have a look at CNN, it's all over their website."""
152,"""Thanks, I thought it was funny.   Sorry, I missed your funnies.  I'll try scrolling down to find them"""
